,symbol,name,baseCurrency,quoteCurrency,feeCurrency,market,baseMinSize,quoteMinSize,baseMaxSize,quoteMaxSize,baseIncrement,quoteIncrement,priceIncrement,priceLimitRate,isMarginEnabled,enableTrading
423,LUNA-UST,LUNA-UST,LUNA,UST,UST,DeFi,0.01,0.001,1000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
424,USDC-USDT,USDC-USDT,USDC,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
425,CTI-USDT,CTI-USDT,CTI,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
426,CTI-ETH,CTI-ETH,CTI,ETH,ETH,ALTS,0.1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
427,ETH2-ETH,ETH2-ETH,ETH2,ETH,ETH,ALTS,0.01,0.001,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
428,BUX-BTC,BUX-BTC,BUX,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
429,XHV-USDT,XHV-USDT,XHV,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
430,PLU-USDT,PLU-USDT,PLU,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
431,GRT-USDT,GRT-USDT,GRT,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
432,CAS-BTC,CAS-BTC,CAS,BTC,BTC,BTC,50,0.0000001,10000000000,99999999,0.0001,0.000000001,0.000000001,0.1,False,True
433,CAS-USDT,CAS-USDT,CAS,USDT,USDT,USDS,50,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
434,MSWAP-BTC,MSWAP-BTC,MSWAP,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
435,MSWAP-USDT,MSWAP-USDT,MSWAP,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
436,GOM2-BTC,GOM2-BTC,GOM2,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
437,GOM2-USDT,GOM2-USDT,GOM2,USDT,USDT,USDS,10,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
438,REVV-BTC,REVV-BTC,REVV,BTC,BTC,NFT,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
439,REVV-USDT,REVV-USDT,REVV,USDT,USDT,NFT,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
440,LON-USDT,LON-USDT,LON,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
441,1INCH-USDT,1INCH-USDT,1INCH,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
442,LOC-USDT,LOC-USDT,LOC,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
443,API3-USDT,API3-USDT,API3,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
444,UNFI-USDT,UNFI-USDT,UNFI,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
445,HTR-USDT,HTR-USDT,HTR,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
446,FRONT-USDT,FRONT-USDT,FRONT,USDT,USDT,DeFi,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
447,FRONT-BTC,FRONT-BTC,FRONT,BTC,BTC,DeFi,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
448,WBTC-BTC,WBTC-BTC,WBTC,BTC,BTC,BTC,0.0001,0.0001,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
449,WBTC-ETH,WBTC-ETH,WBTC,ETH,ETH,ALTS,0.0001,0.001,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
450,DOT-UST,DOT-UST,DOT,UST,UST,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
451,ATOM-UST,ATOM-UST,ATOM,UST,UST,USDS,0.01,0.001,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
452,AAVE-UST,AAVE-UST,AAVE,UST,UST,USDS,0.001,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
453,YFI-UST,YFI-UST,YFI,UST,UST,USDS,0.000001,0.01,10000000000,99999999,0.000001,0.01,0.01,0.1,False,True
454,SNX-UST,SNX-UST,SNX,UST,UST,USDS,0.01,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
455,USDC-UST,USDC-UST,USDC,UST,UST,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
456,MIR-USDT,MIR-USDT,MIR,USDT,USDT,DeFi,0.1,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
457,MIR-UST,MIR-UST,MIR,UST,UST,DeFi,0.1,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
458,LTC-USDC,LTC-USDC,LTC,USDC,USDC,USDS,0.0001,0.01,10000000000,99999999,0.0001,0.01,0.01,0.1,False,True
459,BCH-USDC,BCH-USDC,BCH,USDC,USDC,USDS,0.0001,0.01,10000000000,99999999,0.0001,0.01,0.01,0.1,False,True
460,HYDRA-USDT,HYDRA-USDT,HYDRA,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
461,DFI-USDT,DFI-USDT,DFI,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
462,DFI-BTC,DFI-BTC,DFI,BTC,BTC,DeFi,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
463,CRV-USDT,CRV-USDT,CRV,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
464,SUSHI-USDT,SUSHI-USDT,SUSHI,USDT,USDT,DeFi,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
465,FRM-USDT,FRM-USDT,FRM,USDT,USDT,USDS,25,5,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
466,EOS-USDC,EOS-USDC,EOS,USDC,USDC,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
467,BCHSV-USDC,BSV-USDC,BSV,USDC,USDC,USDS,0.0001,0.01,10000000000,99999999,0.0001,0.01,0.01,0.1,False,True
468,PROPS-USDT,PROPS-USDT,PROPS,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
469,ZEN-USDT,ZEN-USDT,ZEN,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
470,PROPS-BTC,PROPS-BTC,PROPS,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
471,CUDOS-USDT,CUDOS-USDT,CUDOS,USDT,USDT,USDS,10,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
472,ADA-USDC,ADA-USDC,ADA,USDC,USDC,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
473,REN-USDT,REN-USDT,REN,USDT,USDT,DeFi,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
474,LRC-USDT,LRC-USDT,LRC,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
475,LINK-USDC,LINK-USDC,LINK,USDC,USDC,DeFi,0.001,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
476,KLV-USDT,KLV-USDT,KLV,USDT,USDT,USDS,10,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
477,KLV-BTC,KLV-BTC,KLV,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.000000001,0.000000001,0.1,False,True
478,BOA-USDT,BOA-USDT,BOA,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
479,THETA-USDT,THETA-USDT,THETA,USDT,USDT,NFT,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
480,QNT-USDT,QNT-USDT,QNT,USDT,USDT,USDS,0.001,0.001,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
481,BAT-USDT,BAT-USDT,BAT,USDT,USDT,USDS,0.01,1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
482,DOGE-USDT,DOGE-USDT,DOGE,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
483,DOGE-USDC,DOGE-USDC,DOGE,USDC,USDC,USDS,1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
484,DAO-USDT,DAO-USDT,DAO,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
485,STRONG-USDT,STRONG-USDT,STRONG,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
486,TRIAS-USDT,TRIAS-USDT,TRIAS,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
487,TRIAS-BTC,TRIAS-BTC,TRIAS,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
488,DOGE-BTC,DOGE-BTC,DOGE,BTC,BTC,BTC,10,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
489,MITX-BTC,MITX-BTC,MITX,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.000000001,0.1,False,True
490,MITX-USDT,MITX-USDT,MITX,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
491,CAKE-USDT,CAKE-USDT,CAKE,USDT,USDT,USDS,0.01,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
492,ORAI-USDT,ORAI-USDT,ORAI,USDT,USDT,USDS,0.01,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
493,BRG-USDT,BRG-USDT,BRG,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
494,BRG-BTC,BRG-BTC,BRG,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
495,ZEE-USDT,ZEE-USDT,ZEE,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
496,LTX-USDT,LTX-USDT,LTX,USDT,USDT,DeFi,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
497,LTX-BTC,LTX-BTC,LTX,BTC,BTC,DeFi,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
498,MASK-USDT,MASK-USDT,MASK,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
499,KLV-TRX,KLV-TRX,KLV,TRX,TRX,ALTS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
500,IDEA-USDT,IDEA-USDT,IDEA,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
501,PHA-USDT,PHA-USDT,PHA,USDT,USDT,Polkadot,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
502,PHA-ETH,PHA-ETH,PHA,ETH,ETH,Polkadot,0.1,0.00001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
503,BCH-KCS,BCH-KCS,BCH,KCS,KCS,KCS,0.001,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
504,SRK-USDT,SRK-USDT,SRK,USDT,USDT,USDS,10,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
505,SRK-BTC,SRK-BTC,SRK,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
506,PIVX-USDT,PIVX-USDT,PIVX,USDT,USDT,USDS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
507,LUNA-KCS,LUNA-KCS,LUNA,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
508,ADA-KCS,ADA-KCS,ADA,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
509,HTR-BTC,HTR-BTC,HTR,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
510,BCHSV-KCS,BSV-KCS,BSV,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
511,DOT-KCS,DOT-KCS,DOT,KCS,KCS,KCS,0.01,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
512,LINK-KCS,LINK-KCS,LINK,KCS,KCS,KCS,0.01,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
513,MIR-KCS,MIR-KCS,MIR,KCS,KCS,KCS,0.01,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
514,BNB-KCS,BNB-KCS,BNB,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
515,XLM-KCS,XLM-KCS,XLM,KCS,KCS,KCS,0.1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
516,VET-KCS,VET-KCS,VET,KCS,KCS,KCS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
517,SWINGBY-USDT,SWINGBY-USDT,SWINGBY,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
518,SWINGBY-BTC,SWINGBY-BTC,SWINGBY,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
519,XHV-BTC,XHV-BTC,XHV,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
520,DASH-KCS,DASH-KCS,DASH,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
521,UNI-KCS,UNI-KCS,UNI,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
522,AAVE-KCS,AAVE-KCS,AAVE,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
523,DOGE-KCS,DOGE-KCS,DOGE,KCS,KCS,KCS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
524,ZEC-KCS,ZEC-KCS,ZEC,KCS,KCS,KCS,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
525,XTZ-KCS,XTZ-KCS,XTZ,KCS,KCS,KCS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
526,GRT-KCS,GRT-KCS,GRT,KCS,KCS,KCS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
527,NANO-KCS,NANO-KCS,NANO,KCS,KCS,KCS,0.1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
528,ALGO-KCS,ALGO-KCS,ALGO,KCS,KCS,KCS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
529,EWT-KCS,EWT-KCS,EWT,KCS,KCS,KCS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
530,GAS-USDT,GAS-USDT,GAS,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
531,AVAX-USDT,AVAX-USDT,AVAX,USDT,USDT,USDS,0.01,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
532,AVAX-BTC,AVAX-BTC,AVAX,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
533,KRL-BTC,KRL-BTC,KRL,BTC,BTC,BTC,10,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
534,KRL-USDT,KRL-USDT,KRL,USDT,USDT,USDS,10,1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
535,POLK-USDT,POLK-USDT,POLK,USDT,USDT,Polkadot,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
536,POLK-BTC,POLK-BTC,POLK,BTC,BTC,Polkadot,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
537,ENJ-USDT,ENJ-USDT,ENJ,USDT,USDT,NFT,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
538,MANA-USDT,MANA-USDT,MANA,USDT,USDT,NFT,1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
539,RNDR-USDT,RNDR-USDT,RNDR,USDT,USDT,NFT,0.5,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
540,RNDR-BTC,RNDR-BTC,RNDR,BTC,BTC,NFT,0.5,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
541,RLY-USDT,RLY-USDT,RLY,USDT,USDT,NFT,0.1,0.01,100000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
542,ANC-USDT,ANC-USDT,ANC,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
543,ANC-UST,ANC-UST,ANC,UST,UST,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
544,SKEY-USDT,SKEY-USDT,SKEY,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
545,LAYER-USDT,LAYER-USDT,LAYER,USDT,USDT,DeFi,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
546,TARA-USDT,TARA-USDT,TARA,USDT,USDT,USDS,10,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
547,TARA-ETH,TARA-ETH,TARA,ETH,ETH,ALTS,10,0.0001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
548,IOST-USDT,IOST-USDT,IOST,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
549,DYP-USDT,DYP-USDT,DYP,USDT,USDT,DeFi,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
550,DYP-ETH,DYP-ETH,DYP,ETH,ETH,DeFi,0.1,0.00001,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
551,XYM-USDT,XYM-USDT,XYM,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
552,XYM-BTC,XYM-BTC,XYM,BTC,BTC,BTC,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
553,PCX-USDT,PCX-USDT,PCX,USDT,USDT,Polkadot,0.01,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
554,PCX-BTC,PCX-BTC,PCX,BTC,BTC,Polkadot,0.01,0.000001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
555,BTMX-USDT,BTMX-USDT,BTMX,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
556,ORBS-USDT,ORBS-USDT,ORBS,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
557,ORBS-BTC,ORBS-BTC,ORBS,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.000000001,0.000000001,0.1,False,True
558,BTC3L-USDT,BTC3L-USDT,BTC3L,USDT,USDT,ETF,0.01,0.01,10000000000,50000,0.0001,0.0001,0.0001,0.1,False,True
559,BTC3S-USDT,BTC3S-USDT,BTC3S,USDT,USDT,ETF,0.01,0.01,10000000000,50000,0.0001,0.0001,0.0001,0.1,False,True
560,ETH3L-USDT,ETH3L-USDT,ETH3L,USDT,USDT,ETF,0.01,0.01,10000000000,50000,0.0001,0.0001,0.0001,0.1,False,True
561,ETH3S-USDT,ETH3S-USDT,ETH3S,USDT,USDT,ETF,0.01,0.01,10000000000,50000,0.0001,0.0001,0.0001,0.1,False,True
562,ANKR-USDT,ANKR-USDT,ANKR,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
563,DSLA-USDT,DSLA-USDT,DSLA,USDT,USDT,USDS,10,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
564,DSLA-BTC,DSLA-BTC,DSLA,BTC,BTC,BTC,10,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
565,SPI-USDT,SPI-USDT,SPI,USDT,USDT,USDS,0.01,1,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
566,GSPI-USDT,GSPI-USDT,GSPI,USDT,USDT,USDS,0.1,1,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
567,SAND-USDT,SAND-USDT,SAND,USDT,USDT,NFT,1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,True,True
568,VAI-USDT,VAI-USDT,VAI,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
569,XCUR-USDT,XCUR-USDT,XCUR,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,False,True
570,XCUR-BTC,XCUR-BTC,XCUR,BTC,BTC,BTC,0.01,0.000001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
571,FLUX-USDT,FLUX-USDT,FLUX,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
572,OMG-USDT,OMG-USDT,OMG,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.001,0.001,0.1,True,True
573,ZIL-USDT,ZIL-USDT,ZIL,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
574,DODO-USDT,DODO-USDT,DODO,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
575,CBC-USDT,CBC-USDT,CBC,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
576,MAN-USDT,MAN-USDT,MAN,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
577,BAX-USDT,BAX-USDT,BAX,USDT,USDT,USDS,1000,0.1,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
578,BOSON-USDT,BOSON-USDT,BOSON,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
579,BOSON-ETH,BOSON-ETH,BOSON,ETH,ETH,ALTS,0.1,0.00001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
580,PUNDIX-USDT,PUNDIX-USDT,PUNDIX,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
581,PUNDIX-BTC,PUNDIX-BTC,PUNDIX,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
582,WAX-USDT,WAXP-USDT,WAXP,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
583,HT-USDT,HT-USDT,HT,USDT,USDT,USDS,0.1,1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
584,PDEX-USDT,PDEX-USDT,PDEX,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
585,LABS-USDT,LABS-USDT,LABS,USDT,USDT,USDS,10,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
586,LABS-ETH,LABS-ETH,LABS,ETH,ETH,ALTS,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
587,GMB-USDT,GMB-USDT,GMB,USDT,USDT,USDS,100,0.1,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
588,PHNX-USDT,PHNX-USDT,PHNX,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
589,PHNX-BTC,PHNX-BTC,PHNX,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
590,HAI-USDT,HAI-USDT,HAI,USDT,USDT,USDS,1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
591,EQZ-USDT,EQZ-USDT,EQZ,USDT,USDT,USDS,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
592,EQZ-BTC,EQZ-BTC,EQZ,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
593,FORTH-USDT,FORTH-USDT,FORTH,USDT,USDT,USDS,0.01,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
594,CARR-USDT,CARR-USDT,CARR,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
595,CARR-BTC,CARR-BTC,CARR,BTC,BTC,BTC,1,0.0000001,10000000000,99999999,0.0001,0.000000001,0.000000001,0.1,False,True
596,HORD-USDT,HORD-USDT,HORD,USDT,USDT,USDS,10,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
597,CGG-USDT,CGG-USDT,CGG,USDT,USDT,NFT,0.1,0.1,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
598,UBX-USDT,UBX-USDT,UBX,USDT,USDT,USDS,100,0.1,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
599,GHX-USDT,GHX-USDT,GHX,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
600,TCP-USDT,TCP-USDT,TCP,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
601,STND-USDT,STND-USDT,STND,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
602,STND-ETH,STND-ETH,STND,ETH,ETH,ALTS,0.1,0.00001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
603,TOWER-USDT,TOWER-USDT,TOWER,USDT,USDT,NFT,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
604,TOWER-BTC,TOWER-BTC,TOWER,BTC,BTC,NFT,1,0.0000001,10000000000,99999999,0.0001,0.000000001,0.000000001,0.1,False,True
605,ACE-USDT,ACE-USDT,ACE,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
606,LOCG-USDT,LOCG-USDT,LOCG,USDT,USDT,NFT,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
607,CARD-USDT,CARD-USDT,CARD,USDT,USDT,USDS,10,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
